offset	bank	bank_offset	address	length	ascii_ratio	high_byte_ratio	entropy	sample_hex	sample_ascii_lossy
0x001227	0x00	0x1227	0x1227	11	0.364	0.364	3.459	e1c12318087dc6056f7cce	..#..}..o|.
0x001233	0x00	0x1233	0x1233	11	0.273	0.545	3.459	670d20ced1c1c9c5cd4e12	g. ......N.
0x00123F	0x00	0x123F	0x123F	16	0.125	0.562	3.453	06c2a92804a1ea07c279ea06c2c1c90e	...(.....y......
0x00126B	0x00	0x126B	0x126B	13	0.385	0.462	3.7	e60fcb37b12fea05c24f3e30e0	...7./...O>0.
0x00127D	0x00	0x127D	0x127D	45	0.311	0.356	4.819	7ea0280137cb13cb083001230d20f17bd1c97983ea29c2788aea28c206800e01	~.(.7....0.#. .{..y..).x..(......z..(....z...
0x0012B1	0x00	0x12B1	0x12B1	29	0.379	0.379	4.349	29c2bb20e5c3b8130e01cd7a12b720220e05cd7a12e53c4f7b916f7ade	").. .......z.. ""...z..<O{.oz."
0x0012DB	0x00	0x12DB	0x12DB	9	0.333	0.556	2.948	29c2bb20bbc3b8133e	).. ....>
0x0012E5	0x00	0x12E5	0x12E5	11	0.273	0.455	3.096	ea2ac2ea2bc20e02cd7a12	.*..+....z.
0x0012F1	0x00	0x12F1	0x12F1	20	0.35	0.35	4.222	032816c602ea2bc20e08cd7a12e54f7b916f7ade	.(....+....z..O{.oz.
0x001306	0x00	0x1306	0x1306	9	0.222	0.333	3.17	67c396130e04cd7a12	g......z.
0x001310	0x00	0x1310	0x1310	26	0.346	0.346	4.239	0f2821c605ea2bc20e01cd7a12ea2cc20e08cd7a12e54f7b916f	.(!...+....z..,....z..O{.o
0x00132B	0x00	0x132B	0x132B	14	0.357	0.357	3.664	2cc24f7a9967c396130e08cd7a12	,.Oz.g......z.
0x00133B	0x00	0x133B	0x133B	8	0.5	0.375	2.75	2828c614ea2bc23e	((...+.>
0x001346	0x00	0x1346	0x1346	21	0.333	0.381	3.821	ea2ac20e02cd7a12ea2cc20e08cd7a12e54f7b916f	.*....z..,....z..O{.o
0x00135C	0x00	0x135C	0x135C	51	0.314	0.392	4.513	2cc24f7a9967c396130e04cd7a124fc50e08cd7a12c613ea2bc2c179ce01ea2a	,.Oz.g......z.O....z....+..y...*....z..,....z..O{.o
0x00139C	0x00	0x139C	0x139C	11	0.545	0.182	3.278	2ac2472b2a12130b78b120	*.G+*...x. 
0x0013B2	0x00	0x13B2	0x13B2	20	0.25	0.65	4.222	29c2bbc29b12c9e56ff080f53e3acdf203c5d526	).......o...>:.....&
0x0013C7	0x00	0x13C7	0x13C7	9	0.222	0.444	1.837	cb25cb14cb25cb1401	.%...%...
0x0013D1	0x00	0x13D1	0x13D1	12	0.583	0.167	3.418	40092a4e235e2356cdf20306	@.*N#^#V....
0x0013DE	0x00	0x13DE	0x13DE	18	0.333	0.444	1.747	cb21cb10cb21cb10cb21cb10cb21cb102140	.!...!...!...!..!@
0x0013F1	0x00	0x13F1	0x13F1	14	0.357	0.429	3.807	094d446b62d1c5d5cd8f12e10140	.MDkb........@
0x001407	0x00	0x1407	0x1407	18	0.222	0.556	3.572	094d44e13e01cdf203cddb65f1cdf203e1c9	.MD.>......e......
0x00141A	0x00	0x141A	0x141A	16	0.562	0.312	3.875	4dc24f2139c27eb7280c7dc6056f7cce	M.O!9.~.(.}..o|.
